ID;Mun/UF;MUNICIPIO;UF;LATITUDE;LONGITUDE
3607;MIGUEL PEREIRA - RJ;MIGUEL PEREIRA;RJ;-22,45;-43,46
2172;VARGINHA - MG;VARGINHA;MG;-21,55;-45,43
2709;SANTANA DOS GARROTES - PB;SANTANA DOS GARROTES;PB;-7,38;-37,98
2537;AGUA BRANCA - PB;AGUA BRANCA;PB;-7,51;-37,64
2806;CATENDE - PE;CATENDE;PE;-8,66;-35,71
1322;TASSO FRAGOSO - MA;TASSO FRAGOSO;MA;-8,47;-45,74
1357;ALPINOPOLIS - MG;ALPINOPOLIS;MG;-20,86;-46,38
3654;VASSOURAS - RJ;VASSOURAS;RJ;-22,4;-43,66
1375;ARAGUARI - MG;ARAGUARI;MG;-18,64;-48,18
3139;SAO JOSE DO PIAUI - PI;SAO JOSE DO PIAUI;PI;-6,87;-41,47
2625;ITAPORANGA - PB;ITAPORANGA;PB;-7,3;-38,15
2910;SAO CAITANO - PE;SAO CAITANO;PE;-8,32;-36,14
1895;PASSA VINTE - MG;PASSA VINTE;MG;-22,2;-44,23
2151;TRES CORACOES - MG;TRES CORACOES;MG;-21,69;-45,25
3627;RIO BONITO - RJ;RIO BONITO;RJ;-22,7;-42,62
60;JACUIPE - AL;JACUIPE;AL;-8,84;-35,46
2721;SAO JOSE DE CAIANA - PB;SAO JOSE DE CAIANA;PB;-7,24;-38,3
2763;AGRESTINA - PE;AGRESTINA;PE;-8,45;-35,94
2585;CAMALAU - PB;CAMALAU;PB;-7,88;-36,82
673;FARIAS BRITO - CE;FARIAS BRITO;CE;-6,93;-39,56
2738;SERRA GRANDE - PB;SERRA GRANDE;PB;-7,21;-38,37
3103;PIO IX - PI;PIO IX;PI;-6,83;-40,57
5467;PEIXE - TO;PEIXE;TO;-12,02;-48,53
926;CALDAS NOVAS - GO;CALDAS NOVAS;GO;-17,74;-48,62
2787;BREJO DA MADRE DE DEUS - PE;BREJO DA MADRE DE DEUS;PE;-8,14;-36,37
970;GOIANESIA - GO;GOIANESIA;GO;-15,31;-49,11
1083;SANTA TEREZA DE GOIAS - GO;SANTA TEREZA DE GOIAS;GO;-13,71;-49,01
1897;PASSOS - MG;PASSOS;MG;-20,71;-46,61
1081;SANTA RITA DO NOVO DESTINO - GO;SANTA RITA DO NOVO DESTINO;GO;-15,13;-49,12
1414;BOCAINA DE MINAS - MG;BOCAINA DE MINAS;MG;-22,16;-44,39
635;ASSARE - CE;ASSARE;CE;-6,87;-39,87
913;BONFINOPOLIS - GO;BONFINOPOLIS;GO;-16,61;-48,96
3142;SAO LUIS DO PIAUI - PI;SAO LUIS DO PIAUI;PI;-6,82;-41,32
2937;TUPARETAMA - PE;TUPARETAMA;PE;-7,6;-37,31
71;MARAGOGI - AL;MARAGOGI;AL;-9,01;-35,22
3641;SAO PEDRO DA ALDEIA - RJ;SAO PEDRO DA ALDEIA;RJ;-22,83;-42,1
2875;PALMARES - PE;PALMARES;PE;-8,68;-35,59
3131;SAO JOAO DA CANABRAVA - PI;SAO JOAO DA CANABRAVA;PI;-6,81;-41,34
1525;CONCEICAO DA APARECIDA - MG;CONCEICAO DA APARECIDA;MG;-21,09;-46,2
1998;SACRAMENTO - MG;SACRAMENTO;MG;-19,86;-47,44
3603;MAGE - RJ;MAGE;RJ;-22,65;-43,04
3648;TANGUA - RJ;TANGUA;RJ;-22,73;-42,71
1391;BAEPENDI - MG;BAEPENDI;MG;-21,95;-44,89
5498;SILVANOPOLIS - TO;SILVANOPOLIS;TO;-11,14;-48,16
2687;PRATA - PB;PRATA;PB;-7,69;-37,08
961;ESTRELA DO NORTE - GO;ESTRELA DO NORTE;GO;-13,86;-49,07
1112;URUACU - GO;URUACU;GO;-14,52;-49,14
3592;IGUABA GRANDE - RJ;IGUABA GRANDE;RJ;-22,83;-42,22
2723;SAO JOSE DE PIRANHAS - PB;SAO JOSE DE PIRANHAS;PB;-7,12;-38,5
1619;FAMA - MG;FAMA;MG;-21,4;-45,82
2764;AGUA PRETA - PE;AGUA PRETA;PE;-8,7;-35,53
968;GOIANAPOLIS - GO;GOIANAPOLIS;GO;-16,51;-49,02
3039;IPIRANGA DO PIAUI - PI;IPIRANGA DO PIAUI;PI;-6,82;-41,74
3576;CABO FRIO - RJ;CABO FRIO;RJ;-22,87;-42,01
3079;NAZARE DO PIAUI - PI;NAZARE DO PIAUI;PI;-6,97;-42,67
1532;CONCEICAO DO RIO VERDE - MG;CONCEICAO DO RIO VERDE;MG;-21,88;-45,08
2849;JATAUBA - PE;JATAUBA;PE;-7,99;-36,49
930;CAMPINORTE - GO;CAMPINORTE;GO;-14,31;-49,15
2667;OURO VELHO - PB;OURO VELHO;PB;-7,62;-37,15
927;CALDAZINHA - GO;CALDAZINHA;GO;-16,71;-49
1508;CAXAMBU - MG;CAXAMBU;MG;-21,97;-44,93
3593;ITABORAI - RJ;ITABORAI;RJ;-22,74;-42,85
1602;ELOI MENDES - MG;ELOI MENDES;MG;-21,61;-45,56
910;BELA VISTA DE GOIAS - GO;BELA VISTA DE GOIAS;GO;-16,97;-48,95
3571;BARRA DO PIRAI - RJ;BARRA DO PIRAI;RJ;-22,47;-43,82
1105;TEREZOPOLIS DE GOIAS - GO;TEREZOPOLIS DE GOIAS;GO;-16,39;-49,08
2912;SAO JOAQUIM DO MONTE - PE;SAO JOAQUIM DO MONTE;PE;-8,43;-35,8
947;CORUMBAIBA - GO;CORUMBAIBA;GO;-18,14;-48,56
2621;IGARACY - PB;IGARACY;PB;-7,18;-38,14
626;ANTONINA DO NORTE - CE;ANTONINA DO NORTE;CE;-6,77;-39,98
636;AURORA - CE;AURORA;CE;-6,94;-38,96
3567;ARARUAMA - RJ;ARARUAMA;RJ;-22,87;-42,34
3606;MENDES - RJ;MENDES;RJ;-22,52;-43,73
1013;MARZAGAO - GO;MARZAGAO;GO;-17,98;-48,64
681;GRANJEIRO - CE;GRANJEIRO;CE;-6,88;-39,21
1358;ALTEROSA - MG;ALTEROSA;MG;-21,24;-46,14
2784;BONITO - PE;BONITO;PE;-8,47;-35,72
2852;JOAQUIM NABUCO - PE;JOAQUIM NABUCO;PE;-8,62;-35,53
3590;ENGENHEIRO PAULO DE FRONTIN - RJ;ENGENHEIRO PAULO DE FRONTIN;RJ;-22,55;-43,67
1890;PARAGUACU - MG;PARAGUACU;MG;-21,54;-45,73
2804;CARUARU - PE;CARUARU;PE;-8,28;-35,97
1719;ITAU DE MINAS - MG;ITAU DE MINAS;MG;-20,73;-46,75
1012;MARA ROSA - GO;MARA ROSA;GO;-14,01;-49,17
